Artist,Date,Stage,Time,SoundCloud Link,Beatport Link
Zoe XGK,30/12,Welcome Party,13:00,https://soundcloud.com/djane-zoexgk,https://www.beatport.com/artist/ze-xgk/918565
Alla Vagner,30/12,Welcome Party,14:30,https://soundcloud.com/maiia,
Gerry,30/12,Welcome Party,16:00,https://soundcloud.com/boomshankar-bmssrecords,https://www.beatport.com/artist/psiger/972478
Mafi,30/12,Welcome Party,17:00,https://soundcloud.com/1200-micrograms,https://www.beatport.com/artist/psy-trance-mafia/1263092
Tinker,30/12,Welcome Party,18:00,https://soundcloud.com/x4ph4n,https://www.beatport.com/artist/kintar/50275
Animalien,30/12,Welcome Party,19:00,https://soundcloud.com/elowinzmusic,https://www.beatport.com/artist/animalien/441805
Aum Shanti,30/12,Welcome Party,20:30,https://soundcloud.com/fungus-funk,https://www.beatport.com/artist/aum-shanti/760736
El Mahico,30/12,Welcome Party,22:00,https://soundcloud.com/dj-el-mahico,https://www.beatport.com/artist/el-mahico/860374
Mothership,30/12,Welcome Party,23:30,https://soundcloud.com/masuke-mothership,https://www.beatport.com/artist/mothership-loudspeakerz/267563
Tsune,31/12,Welcome Party,00:30,https://soundcloud.com/tsunelive,https://www.beatport.com/artist/ctune/942033
Game,31/12,Welcome Party,01:30,,https://www.beatport.com/artist/pulsar/17645
Pzychobiz,31/12,Welcome Party,02:30,https://soundcloud.com/pzychobiz,https://www.beatport.com/artist/penubiz/1011841
Darkalien,31/12,Welcome Party,03:30,https://soundcloud.com/ksamail,https://www.beatport.com/artist/darkalien-live/1129504
Goa Gummy,31/12,Welcome Party,05:00,https://soundcloud.com/goagummy,https://www.beatport.com/artist/gummy/301074
Radzy,31/12,Welcome Party,06:00,https://soundcloud.com/yzdar,https://www.beatport.com/artist/razzy/278307
Apnea,31/12,Welcome Party,07:00,https://soundcloud.com/apnea,https://www.beatport.com/artist/apneia/1107621
Acid Echoes,31/12,Welcome Party,08:00,https://soundcloud.com/acidechoes,
Shane Gobi,31/12,Welcome Party,09:00,https://soundcloud.com/shane-gobi,https://www.beatport.com/artist/shane-gobi/135014
Break,31/12,Welcome Party,10:00,,
Tetrameth,31/12,Main Stage,16:00,https://soundcloud.com/tetrameth,https://www.beatport.com/artist/tetrameth/42337
Opening Ceremony,31/12,Main Stage,18:00,,
E-Clip,31/12,Main Stage,18:30,https://soundcloud.com/e-clip,https://www.beatport.com/artist/e-clip/119593
Boom Shankar,31/12,Main Stage,21:30,https://soundcloud.com/boomshankar-bmssrecords,https://www.beatport.com/artist/boomshankar/381159
Braincell,31/12,Main Stage,23:59,https://soundcloud.com/brainalien,https://www.beatport.com/artist/braincell/22727
Wingman (Purple Shapes),01/01,Main Stage,02:00,https://soundcloud.com/purpleshapes,https://www.beatport.com/artist/purple-shapes/763695
Phobos,01/01,Main Stage,04:00,https://soundcloud.com/phobos_looney,https://www.beatport.com/artist/phobos/82441
Psy Maiia,01/01,Main Stage,06:30,https://soundcloud.com/psymaiia,https://www.beatport.com/artist/psy-maiia/1304249
Break,01/01,Main Stage,09:00,,
Yogi,01/01,Alternative Stage,09:00,https://soundcloud.com/yogitrf,https://www.beatport.com/artist/yogi-p/784335
Medicine,01/01,Alternative Stage,09:00,https://soundcloud.com/aya-bara,https://www.beatport.com/artist/psytrance/283053
Maiia,01/01,Alternative Stage,09:00,https://soundcloud.com/psymaiia,https://www.beatport.com/artist/psy-maiia/1304249
Solar Spectrum,01/01,Main Stage,13:00,https://soundcloud.com/solar-spectrum,https://www.beatport.com/artist/solar-spectrum/136242
Sabaii Sabaii,01/01,Main Stage,15:00,,https://www.beatport.com/artist/sabai/767561
1200 Mics by Chicago,01/01,Main Stage,16:30,https://soundcloud.com/1200-micrograms,https://www.beatport.com/artist/1200-micrograms/13377
Lucas,01/01,Main Stage,18:00,https://soundcloud.com/djlucasobrien,https://www.beatport.com/artist/lucas/4092
Ace Ventura,01/01,Main Stage,20:30,https://soundcloud.com/schatsi,https://www.beatport.com/artist/ace-ventura/7165
Kala,01/01,Main Stage,23:30,https://soundcloud.com/kala,https://www.beatport.com/artist/kala/116093
Janux,02/01,Main Stage,01:30,https://soundcloud.com/januxjanux,https://www.beatport.com/artist/janus-rasmussen/725832
Kia Goa,02/01,Main Stage,03:00,https://soundcloud.com/dj-kia-goa,https://www.beatport.com/artist/kia/132704
Dark Elf,02/01,Main Stage,04:30,https://soundcloud.com/darkelfmusic,https://www.beatport.com/artist/dark-elf/64335
John Lee,02/01,Main Stage,06:00,https://soundcloud.com/john-lee-lost-project,https://www.beatport.com/artist/jon-lee/178431
Ton,02/01,Main Stage,07:30,https://soundcloud.com/dj-x-ton,https://www.beatport.com/artist/ton/1008345
Break,02/01,Main Stage,09:00,,
Mike Akida,02/01,Alternative Stage,09:00,,https://www.beatport.com/artist/makida/402547
Xaphan,02/01,Alternative Stage,09:00,https://soundcloud.com/x4ph4n,https://www.beatport.com/artist/xaphan/68204
Emiri,02/01,Main Stage,13:00,https://soundcloud.com/emiri-tsukui,https://www.beatport.com/artist/emyr/967045
Eartheogen,02/01,Main Stage,15:00,https://soundcloud.com/eartheogen,https://www.beatport.com/artist/eartheogen/505034
Pspiralife,02/01,Main Stage,17:00,https://soundcloud.com/pspiralife,https://www.beatport.com/artist/pspiralife/205881
Ryanosaurus,02/01,Main Stage,19:00,https://soundcloud.com/ryanosaurusmusic,https://www.beatport.com/artist/ryanosaurus/324432
Hatta,02/01,Main Stage,21:00,https://soundcloud.com/dj-hatta,https://www.beatport.com/artist/hatta/723553
Bensolo,02/01,Main Stage,22:30,https://soundcloud.com/bensolopsy,https://www.beatport.com/artist/bensolo/515533
Drip Drop,03/01,Main Stage,00:00,https://soundcloud.com/drip_drop,https://www.beatport.com/artist/drip-drop/404703
Giuseppe,03/01,Main Stage,02:00,https://soundcloud.com/GIUSEPPEOTTAVIANI,https://www.beatport.com/artist/giuseppe/121049
Farebi Jalebi,03/01,Main Stage,04:00,https://soundcloud.com/farebi-jalebi,https://www.beatport.com/artist/farebi-jalebi/168766
Elowinz,03/01,Main Stage,06:00,https://soundcloud.com/elowinzmusic,https://www.beatport.com/artist/elowinz/398004
Gu,03/01,Main Stage,07:30,https://soundcloud.com/gu-jp,https://www.beatport.com/artist/gu/119521
Break,03/01,Main Stage,09:00,,
Sun Anga,03/01,Alternative Stage,09:00,https://soundcloud.com/sunanga,https://www.beatport.com/artist/sun-anga/711626
Sandesh,03/01,Alternative Stage,09:00,https://soundcloud.com/sandeshpoin,https://www.beatport.com/artist/sandesh/168404
Daijiro,03/01,Main Stage,13:00,https://soundcloud.com/dj-daijiro,https://www.beatport.com/artist/dairo/1172140
Digoa,03/01,Main Stage,15:00,https://soundcloud.com/dj-digoa,https://www.beatport.com/artist/dj-digoa/1101728
Nitin,03/01,Main Stage,17:00,https://soundcloud.com/djnitinhilltopgoa,https://www.beatport.com/artist/nitin/71092
Earthling,03/01,Main Stage,19:00,https://soundcloud.com/earthling,https://www.beatport.com/artist/earthling/10534
Koxbox,03/01,Main Stage,22:00,https://soundcloud.com/koxboxmusic,https://www.beatport.com/artist/koxbox/19674
Tristan,04/01,Main Stage,01:00,https://soundcloud.com/djtristan,https://www.beatport.com/artist/tristan/2932
Fungus Funk,04/01,Main Stage,04:00,https://soundcloud.com/fungus-funk,https://www.beatport.com/artist/fungus-funk/17968
Fungus Drop,04/01,Main Stage,06:00,https://soundcloud.com/fungi_psy95,https://www.beatport.com/artist/fungus-funk/17968
End,04/01,Main Stage,08:00,,
